TymeBreathRate,tidal_volume,TymeVentilation
30.97,234.4,64.63
30.99,233.4,64.83
30.82,234.8,65.56
30.65,236.3,66.29
30.41,236.5,66.38
30.17,236.4,66.39
29.9,234.7,65.97
29.65,233.4,65.73
29.5,234.3,66.2
29.34,235.1,66.67
29.18,236.1,66.89
29.03,237.2,67.1
28.85,239.3,67.44
28.67,242.2,67.87
28.56,242.9,67.94
28.45,243.7,68.02
28.33,244.4,68.09
28.2,243.7,67.75
28.05,242.8,67.35
27.91,241.9,66.99
27.78,241.6,66.86
27.65,241.3,66.74
27.51,241.2,66.71
27.35,241.5,66.81
27.2,241.8,66.9
27.06,241.7,66.91
26.91,241.6,66.93
26.81,242.1,67.16
26.75,243.6,67.68
26.69,245.0,68.19
26.62,246.3,68.51
26.51,247.5,68.33
26.38,249.3,68.37
26.25,251.5,68.53
26.14,252.9,68.55
26.05,253.7,68.46
26.06,254.0,68.66
26.11,254.0,68.99
26.16,254.5,69.45
26.25,256.8,70.45
26.33,258.7,71.16
26.41,259.6,71.22
26.5,260.5,71.29
26.6,260.9,71.24
26.73,260.6,70.99
26.86,260.3,70.99
27.0,259.9,71.13
27.13,259.7,71.18
27.23,259.5,70.96
27.33,259.3,70.74
27.37,259.7,70.92
27.4,260.3,71.17
27.4,260.8,71.48
27.35,261.4,71.83
27.33,261.2,72.05
27.35,260.1,72.1
27.38,259.2,72.17
27.43,260.4,72.47
27.47,261.6,72.76
27.54,261.0,72.52
27.6,260.3,72.28
27.67,259.4,72.08
27.76,258.0,71.93
27.9,258.2,71.96
28.05,259.0,72.03
28.15,260.2,72.15
28.21,261.8,72.31
28.27,263.5,72.47
28.31,264.0,72.13
28.35,264.6,71.79
28.39,262.8,71.64
28.51,262.6,71.75
28.65,263.2,71.96
28.68,264.3,72.35
28.71,265.4,72.75
28.71,265.9,72.87
28.68,265.9,72.67
28.63,265.9,72.51
28.52,266.3,72.56
28.42,266.1,72.48
28.32,264.6,72.09
28.23,263.6,71.81
28.13,263.7,71.75
28.03,263.7,71.68
27.9,263.7,71.69
27.75,263.8,71.72
27.55,262.7,71.75
27.34,261.3,71.78
27.24,261.2,72.0
27.13,261.2,72.22
27.03,261.2,72.45
26.92,261.6,72.7
26.81,262.0,72.96
26.71,262.5,73.11
26.63,263.2,73.12
26.55,263.8,73.13
26.43,264.0,72.89
26.29,264.0,72.53
