TymeBreathRate,tidal_volume,TymeVentilation
24.65,261.9,63.13
24.6,261.4,63.06
24.53,261.7,63.11
24.47,262.1,63.15
24.45,263.0,63.1
24.49,263.3,63.01
24.59,261.1,62.92
24.68,261.0,63.0
24.75,261.3,63.13
24.83,261.7,63.26
24.94,262.1,63.21
25.06,262.5,63.08
25.18,263.0,62.96
25.3,263.0,62.82
25.41,262.2,62.66
25.53,261.4,62.5
25.64,260.6,62.33
25.68,260.8,62.51
25.7,261.3,62.77
25.72,261.8,63.04
25.75,262.9,63.21
25.79,264.2,63.36
25.83,264.8,63.68
25.87,265.4,64.01
25.77,265.3,64.3
25.65,265.2,64.58
25.54,264.9,64.93
25.44,264.7,65.29
25.33,264.4,65.64
25.25,265.1,66.09
25.2,266.5,66.62
25.1,267.7,66.75
25.0,268.9,66.82
24.94,269.5,66.64
24.88,269.9,66.37
24.83,270.3,66.1
24.89,269.3,66.01
24.96,268.0,65.95
25.01,268.3,66.06
25.05,269.3,66.26
25.08,270.4,66.48
25.07,271.2,66.78
25.07,272.1,67.07
25.06,272.5,67.1
25.05,272.8,67.0
25.07,273.0,66.95
25.12,273.4,67.0
25.18,273.7,67.05
25.23,274.1,67.1
25.21,273.0,67.0
25.19,271.8,66.9
25.17,270.6,66.8
25.15,269.4,66.72
25.13,269.3,67.48
25.11,269.2,68.24
25.12,268.9,68.61
25.15,268.6,68.78
25.14,269.2,69.04
25.14,269.8,69.3
25.13,270.4,69.56
25.08,271.5,69.86
25.01,272.6,70.16
24.96,273.9,70.18
24.93,275.3,69.96
25.03,273.0,69.73
25.14,270.7,69.64
25.22,271.9,70.42
25.3,273.0,71.21
25.39,274.0,71.62
25.49,275.1,71.85
25.59,276.1,72.07
25.79,276.2,72.43
26.01,276.2,72.8
26.22,276.7,73.2
26.39,278.7,73.7
26.55,280.3,74.11
26.67,278.7,73.85
26.79,277.1,73.6
26.92,275.5,73.34
27.2,273.0,73.61
27.34,272.3,74.05
27.42,272.4,74.57
27.42,272.5,74.91
27.39,272.7,75.14
27.35,272.8,75.37
27.37,272.3,75.79
27.44,270.9,76.49
27.51,270.3,77.17
27.54,273.1,77.8
27.61,272.7,77.39
27.67,272.0,76.93
27.75,271.3,76.48
27.97,270.2,76.23
28.21,269.7,76.12
28.45,269.6,76.09
28.69,269.6,76.05
28.87,270.1,75.95
29.06,270.6,75.86
29.25,271.0,75.73
29.61,271.0,75.22
29.91,269.4,74.54
30.16,266.0,73.72
30.46,265.5,74.19
30.76,265.1,74.69
30.95,265.6,75.11
31.05,266.8,75.46
31.07,267.6,75.58
31.09,268.4,75.67
31.03,268.2,75.48
30.84,266.2,74.78
30.53,266.5,74.39
30.28,267.7,74.02
30.05,269.2,73.64
29.93,267.9,73.29
29.8,266.7,72.95
29.6,267.1,72.85
29.3,269.9,73.1
29.24,270.5,72.67
29.19,271.0,72.24
29.12,271.4,71.9
29.02,271.2,71.92
28.91,271.0,71.93
28.81,270.4,71.8
28.71,269.6,71.58
28.61,268.8,71.37
28.45,268.0,71.12
28.28,267.1,70.87
28.09,265.8,70.6
27.86,263.1,70.3
27.64,260.3,70.01
27.29,259.3,69.86
26.92,258.5,69.74
26.53,258.1,69.37
26.1,258.3,68.58
25.47,257.8,67.95
24.6,256.6,67.53
24.29,257.3,67.45
23.99,258.0,67.38
23.69,258.7,67.3
23.43,259.1,67.2
23.17,259.6,67.1
23.06,261.3,67.22
23.03,263.8,67.47
23.0,266.2,67.72
22.98,268.7,68.02
23.05,271.0,68.6
23.11,273.4,69.18
23.23,274.3,69.29
23.37,274.9,69.28
23.5,275.5,69.27
23.65,275.5,69.19
23.85,274.7,69.0
24.05,273.8,68.8
24.23,273.1,68.56
24.37,272.4,68.23
24.52,271.8,67.9
24.67,271.2,67.57
24.77,270.4,67.19
24.85,269.6,66.79
24.92,269.1,66.47
24.98,270.0,66.47
25.04,270.8,66.47
25.0,270.2,66.15
24.94,269.4,65.84
24.85,267.9,65.71
24.77,266.4,65.61
24.75,265.1,65.66
24.77,263.7,65.59
24.91,262.4,65.15
25.03,262.5,65.05
25.15,263.3,65.12
25.26,264.2,65.18
25.56,263.9,64.72
25.91,263.3,64.09
26.19,262.1,63.77
26.45,260.7,63.55
26.69,259.4,63.34
26.81,258.5,63.15
26.93,257.6,62.97
26.98,257.1,63.08
26.95,257.1,63.54
26.92,257.1,64.01
26.89,257.1,64.47
26.72,257.9,66.01
26.51,258.0,66.75
26.28,257.5,66.84
26.04,257.1,66.96
25.78,256.8,67.18
25.52,256.4,67.4
25.17,254.9,66.88
24.93,253.6,66.53
24.88,253.1,66.6
24.83,252.5,66.68
24.78,251.9,66.75
24.74,251.3,66.66
24.69,250.9,66.52
24.64,250.4,66.39
24.61,250.3,66.22
24.61,251.3,65.99
24.69,251.8,65.77
24.81,252.3,65.56
25.01,254.7,65.86
25.25,258.3,66.5
25.31,261.1,66.9
25.38,263.8,67.31
25.45,266.5,67.71
25.54,266.2,67.59
25.64,265.4,67.38
25.67,265.3,67.5
25.63,266.1,68.0
25.57,265.7,68.18
25.47,263.4,67.76
25.37,261.1,67.34
25.41,259.8,67.72
25.44,258.4,68.1
25.61,256.6,68.41
25.8,254.4,68.4
25.87,251.0,67.22
25.95,249.6,66.92
26.03,249.0,67.0
