TymeBreathRate,tidal_volume,TymeVentilation
30.66,181.0,53.3
30.26,182.1,53.3
29.99,183.0,53.19
29.79,184.0,53.04
29.65,185.1,53.09
29.52,186.3,53.16
29.39,187.5,53.22
29.25,188.5,53.12
29.06,189.0,52.5
28.87,189.5,51.89
28.86,188.7,51.56
28.85,188.6,51.35
28.85,191.0,51.63
28.85,193.4,51.9
28.83,193.2,51.5
28.81,192.1,50.89
28.78,190.8,50.5
28.75,189.0,50.5
28.71,187.4,50.5
28.63,187.2,50.49
28.54,187.0,50.48
28.46,186.8,50.47
28.24,186.9,50.59
27.92,187.3,50.83
27.56,187.4,50.69
27.22,187.4,50.59
26.93,187.5,50.57
26.76,187.1,50.51
26.59,186.7,50.44
26.43,186.2,50.33
26.29,185.6,50.15
26.15,185.0,49.98
26.05,182.8,49.43
25.97,180.0,48.76
25.94,179.4,48.67
25.94,179.4,48.77
25.93,179.5,48.87
26.02,178.8,48.56
26.15,177.8,48.07
26.29,176.7,47.65
26.48,175.2,47.78
26.68,173.8,47.92
26.87,172.6,48.11
27.04,174.2,48.78
27.21,175.7,49.46
27.39,177.2,50.13
27.52,176.4,49.77
27.65,175.6,49.41
27.72,174.9,49.22
27.78,174.1,49.07
27.84,173.4,48.93
27.93,172.3,48.81
28.05,171.6,48.8
28.21,175.5,49.37
28.48,175.1,49.39
28.82,171.7,49.05
29.29,171.6,49.07
29.79,173.0,49.22
30.28,175.1,49.39
30.76,176.7,49.37
31.23,177.0,49.0
31.68,177.1,48.67
32.05,176.7,48.45
32.41,176.6,48.33
32.75,176.9,48.33
33.2,177.1,48.33
33.53,177.0,48.32
33.58,176.2,48.28
33.64,175.4,48.24
33.69,174.6,48.2
33.68,174.1,48.38
33.52,174.1,49.1
33.23,174.0,49.4
32.9,173.8,49.5
32.71,173.6,49.76
32.52,173.3,50.02
32.34,173.1,50.29
32.08,173.7,50.57
31.67,176.1,50.88
31.29,177.1,51.02
30.97,174.8,50.76
30.63,172.9,50.58
30.07,173.5,50.88
29.8,173.6,50.67
29.58,173.6,50.36
29.36,173.5,50.05
29.08,173.6,49.8
28.71,173.9,49.64
28.4,174.5,49.57
28.2,175.8,49.66
28.0,177.0,49.75
27.78,177.3,49.77
27.56,177.5,49.77
27.33,177.7,49.77
27.23,177.2,49.47
27.12,176.6,49.17
27.02,176.1,48.87
26.99,176.8,49.01
26.96,177.5,49.15
26.97,178.3,49.47
26.97,179.1,49.82
26.97,179.9,50.14
26.87,180.3,50.19
26.78,180.7,50.25
26.72,184.6,50.55
26.66,188.8,50.93
26.55,190.0,51.24
26.52,190.1,51.14
26.5,189.9,50.94
26.48,189.7,50.74
26.57,187.5,49.73
26.63,186.2,49.08
26.62,186.7,49.19
26.6,187.2,49.3
26.6,187.7,49.41
26.68,188.5,49.53
26.81,189.4,49.6
27.0,190.1,49.6
27.17,189.5,49.52
27.32,187.9,49.4
27.48,186.4,49.28
27.63,184.8,49.16
27.75,185.7,49.29
27.87,187.1,49.48
27.97,187.9,49.54
28.05,188.2,49.48
28.16,188.8,49.5
28.29,189.7,49.56
28.35,190.3,49.61
28.28,190.4,49.64
28.22,190.6,49.67
28.14,190.7,49.75
27.97,191.1,50.11
27.81,191.4,50.48
27.55,190.3,50.53
27.45,190.5,50.92
27.35,190.8,51.33
27.29,191.3,51.57
