skin_temperature,HeatStrainIndex,hrv
30.75,0.7,453:451
30.75,0.7,455:453:451
30.75,0.7,453:451
30.75,0.7,453:453
30.75,0.7,446:456
30.75,0.7,453:449
30.75,0.7,451:455:453
30.75,0.7,455:446
30.75,0.7,456:456
30.75,0.7,448:456
30.75,0.7,907
30.8,0.7,456:449:448
30.75,0.7,453:453
30.75,0.7,451:451
30.75,0.7,446:451
30.75,0.7,449:446
30.75,0.7,444:449:448
30.75,0.7,446:446
30.75,0.7,448:449
30.75,0.7,448:446
30.75,0.7,449:451:448
30.75,0.7,449:451
30.8,0.7,451:446:455
30.75,0.7,453:451
30.75,0.7,455:453
30.8,0.7,451:449
30.75,0.7,456:456
30.75,0.7,455:453
30.75,0.7,458
30.8,0.7,907:458:456
30.8,0.7,456:451
30.8,0.7,458:455
30.8,0.7,451:458
30.8,0.7,456:456
30.75,0.7,456:453
30.75,0.7,458:458:456
30.75,0.7,456
30.75,0.7,917:456
30.75,0.7,458:458
30.75,0.7,460:458:453
30.8,0.7,460:458
30.75,0.7,453:456
30.8,0.7,456:458
30.8,0.7,458:456
30.8,0.7,920:455
30.8,0.7,
30.8,0.7,917:451
30.8,0.7,458:458:451
30.8,0.7,456:444
30.8,0.7,460:460
30.8,0.7,460:458
30.8,0.7,479:437:458
30.8,0.7,458:456
30.8,0.7,455:455
30.8,0.7,456:458
30.8,0.7,455:462:460
30.8,0.7,458:462
30.85,0.7,460
30.85,0.7,919:462
30.85,0.7,462:458
30.8,0.7,458:462:462
30.85,0.7,460:465
30.85,0.7,463
30.85,0.7,460:465:467
30.85,0.7,462
30.85,0.7,930:465
30.85,0.7,460:467
30.85,0.7,465:463
30.85,0.7,467:465
30.85,0.7,463:460:467
30.85,0.7,465:460
30.85,0.7,467:467
30.85,0.7,465:462
30.85,0.7,465:465:460
30.85,0.7,467:467
30.85,0.7,462:465
30.85,0.7,467
30.85,0.7,1391
30.85,0.7,463:458
30.85,0.7,458:462
30.85,0.7,465:462
30.85,0.7,456:467:462
30.9,0.7,458
30.85,0.7,458:462:462
30.9,0.7,456:456
30.9,0.7,460:460
30.9,0.7,462:456
30.9,0.7,465:462
30.9,0.7,458:465:462
30.9,0.7,458:463
30.9,0.7,462:458
30.9,0.7,455:460
30.9,0.7,458:456:455
30.9,0.7,456:455
30.9,0.7,453:451
30.9,0.7,451:453
30.9,0.7,455:455
30.9,0.7,453:458:456
30.9,0.7,453:451
30.9,0.7,456
30.9,0.7,456:451
30.9,0.7,911:456
30.9,0.7,456:451
30.9,0.7,460:455
30.9,0.7,451:458:456
30.9,0.7,453:460
30.9,0.7,
30.9,0.7,460
30.9,0.7,1838:462
30.9,0.7,460:462:462
30.9,0.7,458
30.9,0.7,925:460
30.9,0.7,460:460
30.9,0.7,453:462
30.9,0.7,460:458:460
30.95,0.7,462:460
30.9,0.7,456:462
30.9,0.7,462
30.95,0.7,917:462
30.9,0.7,460
30.95,0.7,917:462
30.9,0.7,460:458:462
30.95,0.7,460:456
30.95,0.7,462:460
30.9,0.7,458:458:460
30.9,0.7,458:455
30.95,0.7,458:458
30.95,0.7,458:456
30.95,0.7,455:456
30.95,0.7,456:451
30.95,0.7,451:453:455
30.95,0.7,453:451
30.95,0.7,456:455
30.95,0.7,453:451
30.95,0.7,456:453
30.95,0.7,449:456
30.95,0.7,1353
31.0,0.7,456
30.95,0.7,907:451
30.95,0.7,446:910
30.95,0.7,449:451
30.95,0.7,456:453
30.95,0.7,449:449
30.95,0.7,453:451
30.95,0.7,453:451
30.95,0.7,451:453:451
30.95,0.7,444:453
30.95,0.7,899
30.95,0.7,453:453
30.95,0.7,449:453
31.0,0.7,453:444:453
30.95,0.7,451:451
31.0,0.7,439:456
30.95,0.7,451:446
30.95,0.7,448:451:453
30.95,0.7,451:453
30.95,0.7,451:444
30.95,0.7,451:446
30.95,0.7,444:444:444
30.95,0.7,446:444
30.95,0.7,442:439
30.95,0.7,449:442
30.95,0.7,439:442:444
31.0,0.7,446:446
30.95,0.7,444:441
31.0,0.7,446:446
31.0,0.7,444:444
31.0,0.7,442:439:444
31.0,0.7,442:444
30.95,0.7,439:439
31.0,0.7,439:446
31.0,0.7,442:453:444
31.0,0.7,439:451
31.0,0.7,448:444
31.0,0.7,442:446:449
31.0,0.7,449:446
30.95,0.7,449:453
30.95,0.7,453:449
31.0,0.7,444:458
30.95,0.7,456:453:449
30.95,0.7,458:456
30.95,0.7,455:446
30.95,0.7,458:455
30.95,0.7,446:460
30.95,0.7,458:455
30.95,0.7,456:449:460
30.95,0.7,460:456
30.95,0.7,451:462
30.95,0.7,460:458:455
31.0,0.7,462:462
31.0,0.7,460
31.0,0.7,451:462
30.95,0.7,922:458
30.95,0.7,453:463
30.95,0.7,465:465
30.95,0.7,460:462:463
31.0,0.7,463:460
31.0,0.7,458:453
31.0,0.7,460:460
31.0,0.7,456:456
31.0,0.7,458:456
30.95,0.7,449:453:458
30.95,0.7,460
31.0,0.7,458:448:460
31.0,0.7,458:453:453
30.95,0.7,458:455
30.95,0.7,449:458
31.0,0.7,456:451
31.0,0.7,449:446
31.0,0.7,458:458
31.0,0.7,458
31.0,0.7,1830
31.0,0.7,460:460
31.0,0.7,455:456
31.0,0.7,460:456
31.0,0.7,460:460
31.0,0.7,456:458
31.0,0.7,462:463:465
31.0,0.7,458:463
31.0,0.7,465:460
31.0,0.7,467:465
31.0,0.7,462:467:467
31.0,0.7,467:463
31.0,0.7,469:467
30.95,0.7,462:470
31.0,0.7,470:469
31.0,0.7,939
31.0,0.7,
31.0,0.7,1407:472
31.0,0.7,469:469
31.0,0.7,472:470
30.95,0.7,472:474
31.0,0.7,469:474:472
31.0,0.7,469
31.0,0.7,470:945
31.0,0.7,467:472
31.0,0.7,472:467
31.0,0.7,474:474
31.0,0.7,470:476:474
31.0,0.7,476:476
31.0,0.7,472:476
31.0,0.7,476:472
31.0,0.7,470
31.0,0.7,472:469:467
31.0,0.7,467:465
31.0,0.7,465:465
31.0,0.7,463:462
31.0,0.7,920
31.0,0.7,467:469:467
31.0,0.7,465:469
31.05,0.7,467:462
31.0,0.7,467:465
31.0,0.7,462:456:465
31.05,0.7,462:458
31.0,0.7,458:462
31.05,0.7,462:458
31.05,0.7,458:453
31.05,0.7,462:462
31.05,0.7,458:916
31.05,0.7,460:456
31.05,0.7,460:458
31.05,0.7,458:458
31.05,0.7,458:456
31.05,0.7,455:460
31.05,0.7,460:458
31.05,0.7,453:921
31.05,0.7,451:458
31.05,0.7,460
31.05,0.7,458:456:458
31.05,0.7,456:456:455
31.1,0.7,453:453
31.05,0.7,448:456
31.05,0.7,458
31.05,0.7,911:460
31.05,0.7,453:453:458
31.05,0.7,458:453
31.1,0.7,453:458
31.05,0.7,455:451
