smo2,THb
70.421,-17.349
70.346,-17.162
70.34400000000001,-17.277
70.40900000000002,-17.252999999999997
70.45200000000001,-17.308000000000003
70.51199999999999,-17.335
70.56299999999999,-17.060000000000002
70.58600000000001,-16.988
70.548,-17.231
70.46400000000001,-16.99
70.413,-16.391000000000002
70.404,-16.131
70.475,-16.349
70.606,-16.319
70.75,-16.330000000000002
70.836,-15.995
70.87,-15.919000000000002
70.876,-16.228
70.8,-16.045
70.744,-15.966000000000005
70.70399999999998,-15.725
70.63777777777779,-15.496666666666666
70.59272727272729,-15.546363636363637
70.63399999999999,-15.451
70.64200000000001,-14.897
70.603,-14.835
70.569,-15.197
70.583,-15.373
70.53399999999999,-14.9
70.52799999999999,-15.131
70.52199999999999,-15.206
70.559,-15.139
70.65299999999999,-14.912
70.73499999999999,-14.839
70.73800000000001,-15.494
70.627,-15.85
70.475,-15.362
70.351,-15.670999999999998
70.319,-15.775
70.396,-15.746000000000004
70.547,-15.642999999999995
70.603,-15.375
70.595,-15.607
70.618,-15.607
70.71555555555557,-15.658888888888889
70.82454545454546,-15.165454545454544
70.86200000000001,-14.319
70.823,-13.005
70.74300000000001,-12.057
70.71400000000001,-11.726
70.71200000000002,-11.525
70.696,-10.891
70.628,-10.765
70.477,-10.932
70.41099999999999,-10.769
70.477,-10.768
70.55777777777777,-10.867777777777778
70.5918181818182,-13.667272727272728
70.61600000000001,-14.253
70.619,-15.108
70.652,-14.785000000000002
70.66999999999999,-15.518
70.68200000000002,-15.989
70.697,-16.113
70.703,-15.829
70.72200000000001,-15.909
70.68199999999999,-16.217
70.63799999999999,-15.657
70.702,-15.356
70.796,-14.864999999999998
70.826,-14.43
70.85777777777778,-13.80888888888889
70.83545454545457,-12.746363636363638
70.814,-13.122000000000003
70.773,-13.669
70.77799999999999,-12.928999999999998
70.78999999999999,-12.209
70.85222222222222,-12.587777777777776
70.87272727272727,-12.646363636363636
70.89999999999999,-12.374
70.94333333333333,-12.007777777777775
70.97909090909091,-12.746363636363638
71.023,-12.302
71.02,-12.619999999999996
70.99181818181819,-12.575454545454546
70.991,-12.219
70.977,-12.116
70.965,-11.691
71.00999999999999,-11.462
71.087,-12.122
71.099,-12.236
71.106,-12.654
71.14,-12.578888888888889
71.07999999999998,-12.487272727272726
71.008,-12.277
71.0311111111111,-11.853333333333332
71.13272727272727,-12.647272727272728
71.16,-12.380000000000004
71.16181818181816,-12.377272727272723
71.17900000000002,-12.57
71.178,-11.835
71.15777777777777,-11.683333333333332
71.1590909090909,-11.675454545454546
71.212,-12.988
71.19999999999999,-12.973333333333333
71.15727272727271,-12.382727272727273
71.184,-12.483
71.1511111111111,-12.421111111111111
71.18545454545455,-12.64
71.26899999999999,-12.479
71.30666666666667,-13.091111111111111
71.30636363636364,-13.22090909090909
71.345,-12.824000000000002
71.33444444444444,-12.112222222222222
71.33363636363637,-11.08818181818182
71.35499999999999,-11.828
71.28999999999999,-12.645555555555555
71.17999999999999,-13.077272727272726
71.13,-12.254444444444443
71.148,-12.047
71.13181818181818,-11.964545454545457
71.0988888888889,-11.785555555555554
71.068,-11.608
71.05909090909093,-10.62090909090909
71.13111111111111,-11.504444444444443
71.157,-9.74
71.18181818181817,-10.00909090909091
71.1711111111111,-10.48777777777778
71.237,-9.505
71.273,-9.247
71.30800000000002,-10.429
71.413,-9.979
71.58181818181818,-9.35909090909091
71.76,-8.627777777777778
71.929,-8.748
72.0190909090909,-8.106363636363637
72.08888888888889,-8.731111111111112
72.11600000000001,-9.846
72.10545454545455,-9.54090909090909
72.10111111111111,-8.956666666666665
72.131,-8.968
72.18727272727273,-7.841818181818183
72.25222222222222,-7.326666666666666
72.31299999999999,-7.079000000000001
72.27363636363636,-5.426363636363637
72.27222222222221,-4.098888888888889
72.32400000000001,-4.127
72.35818181818182,-3.5818181818181816
72.37777777777778,-3.532222222222222
72.352,-4.949
72.31727272727272,-5.465454545454545
72.26444444444445,-8.627777777777778
72.22200000000001,-8.544999999999998
72.18727272727271,-8.791818181818181
